Contig,accession
A_C_D_contig_572,TIGR01059
A_C_D_contig_18411,TIGR00967
A_C_D_contig_1023,PF00347.18
A_C_D_contig_579,PF00380.14
A_C_D_contig_1023,PF00410.14
A_C_D_contig_579,PF00411.14
A_C_D_contig_579,PF00416.17
A_C_D_contig_216,PF00466.15
A_C_D_contig_982,PF00750.14
A_C_D_contig_261,PF01025.14
A_C_D_contig_208,PF01795.14
A_C_D_contig_731,TIGR00001
A_C_D_contig_4003,TIGR00019
A_C_D_contig_731,TIGR00029
A_C_D_contig_272,TIGR00043
A_C_D_contig_2731,TIGR00043
A_C_D_contig_579,TIGR00059
A_C_D_contig_1023,TIGR00060
A_C_D_contig_213,TIGR00061
A_C_D_contig_579,TIGR00062
A_C_D_contig_7838,TIGR00086
A_C_D_contig_272,TIGR00092
A_C_D_contig_4551,TIGR00115
A_C_D_contig_135,TIGR00116
A_C_D_contig_1589,TIGR00158
A_C_D_contig_524,TIGR00165
A_C_D_contig_524,TIGR00166
A_C_D_contig_731,TIGR00168
A_C_D_contig_149,TIGR00234
A_C_D_contig_149,TIGR00234
A_C_D_contig_2508,TIGR00362
A_C_D_contig_423,TIGR00389
A_C_D_contig_2086,TIGR00389
A_C_D_contig_982,TIGR00392
A_C_D_contig_216,TIGR00396
A_C_D_contig_623,TIGR00414
A_C_D_contig_623,TIGR00418
A_C_D_contig_1023,TIGR00418
A_C_D_contig_1267,TIGR00422
A_C_D_contig_208,TIGR00435
A_C_D_contig_570,TIGR00436
A_C_D_contig_820,TIGR00436
A_C_D_contig_1917,TIGR00442
A_C_D_contig_928,TIGR00459
A_C_D_contig_203,TIGR00460
A_C_D_contig_56,TIGR00472
A_C_D_contig_579,TIGR00487
A_C_D_contig_33,TIGR00496
A_C_D_contig_754,TIGR00575
A_C_D_contig_1230,TIGR00631
A_C_D_contig_6937,TIGR00663
A_C_D_contig_216,TIGR00855
A_C_D_contig_1267,TIGR00922
A_C_D_contig_411,TIGR00952
A_C_D_contig_1267,TIGR00964
A_C_D_contig_601,TIGR00967
A_C_D_contig_579,TIGR00981
A_C_D_contig_135,TIGR01011
A_C_D_contig_579,TIGR01017
A_C_D_contig_149,TIGR01024
A_C_D_contig_579,TIGR01029
A_C_D_contig_272,TIGR01030
A_C_D_contig_2731,TIGR01030
A_C_D_contig_272,TIGR01031
A_C_D_contig_2731,TIGR01031
A_C_D_contig_731,TIGR01032
A_C_D_contig_579,TIGR01049
A_C_D_contig_6580,TIGR01063
A_C_D_contig_579,TIGR01066
A_C_D_contig_1023,TIGR01071
A_C_D_contig_1149,TIGR01169
A_C_D_contig_3208,TIGR01391
A_C_D_contig_643,TIGR01393
A_C_D_contig_2493,TIGR01632
A_C_D_contig_1589,TIGR01953
A_C_D_contig_546,TIGR02012
A_C_D_contig_579,TIGR02027
A_C_D_contig_2731,TIGR02191
A_C_D_contig_272,TIGR02191
A_C_D_contig_5604,TIGR02350
A_C_D_contig_1717,TIGR02397
A_C_D_contig_524,TIGR02729
A_C_D_contig_861,PF00347.18
A_C_D_contig_1567,PF00380.14
A_C_D_contig_861,PF00410.14
A_C_D_contig_1567,PF00411.14
A_C_D_contig_1567,PF00416.17
A_C_D_contig_31,PF00466.15
A_C_D_contig_1161,PF00750.14
A_C_D_contig_29,PF01025.14
A_C_D_contig_1992,TIGR00002
A_C_D_contig_1567,TIGR00009
A_C_D_contig_327,TIGR00019
A_C_D_contig_448,TIGR00029
A_C_D_contig_1567,TIGR00059
A_C_D_contig_861,TIGR00060
A_C_D_contig_31,TIGR00061
A_C_D_contig_1567,TIGR00062
A_C_D_contig_31,TIGR00086
A_C_D_contig_2477,TIGR00092
A_C_D_contig_395,TIGR00115
A_C_D_contig_988,TIGR00116
A_C_D_contig_1212,TIGR00158
A_C_D_contig_518,TIGR00165
A_C_D_contig_518,TIGR00166
A_C_D_contig_448,TIGR00168
A_C_D_contig_320,TIGR00234
A_C_D_contig_14,TIGR00344
A_C_D_contig_83,TIGR00362
A_C_D_contig_1161,TIGR00392
A_C_D_contig_31,TIGR00396
A_C_D_contig_320,TIGR00414
A_C_D_contig_861,TIGR00418
A_C_D_contig_53,TIGR00420
A_C_D_contig_83,TIGR00422
A_C_D_contig_425,TIGR00435
A_C_D_contig_53,TIGR00436
A_C_D_contig_53,TIGR00436
A_C_D_contig_83,TIGR00442
A_C_D_contig_1382,TIGR00459
A_C_D_contig_53,TIGR00460
A_C_D_contig_83,TIGR00468
A_C_D_contig_1212,TIGR00472
A_C_D_contig_1567,TIGR00487
A_C_D_contig_449,TIGR00496
A_C_D_contig_1110,TIGR00575
A_C_D_contig_83,TIGR00663
A_C_D_contig_709,TIGR00810
A_C_D_contig_412,TIGR00952
A_C_D_contig_2477,TIGR00963
A_C_D_contig_83,TIGR00964
A_C_D_contig_138,TIGR00967
A_C_D_contig_1567,TIGR00981
A_C_D_contig_988,TIGR01011
A_C_D_contig_1567,TIGR01017
A_C_D_contig_1212,TIGR01024
A_C_D_contig_1567,TIGR01029
A_C_D_contig_448,TIGR01032
A_C_D_contig_1567,TIGR01049
A_C_D_contig_1992,TIGR01063
A_C_D_contig_1567,TIGR01066
A_C_D_contig_861,TIGR01071
A_C_D_contig_1110,TIGR01391
A_C_D_contig_395,TIGR01393
A_C_D_contig_278,TIGR01632
A_C_D_contig_1212,TIGR01953
A_C_D_contig_4116,TIGR02013
A_C_D_contig_862,TIGR02013
A_C_D_contig_1567,TIGR02027
A_C_D_contig_695,TIGR02350
A_C_D_contig_4116,TIGR02386
A_C_D_contig_4362,TIGR02397
A_C_D_contig_412,TIGR02432
A_C_D_contig_518,TIGR02729
A_C_D_contig_53,TIGR03594
A_C_D_contig_3245,PF00297.17
A_C_D_contig_3245,PF00573.17
A_C_D_contig_3,TIGR00062
A_C_D_contig_3,TIGR00082
A_C_D_contig_3,TIGR00086
A_C_D_contig_3,TIGR00158
A_C_D_contig_3,TIGR00168
A_C_D_contig_3,TIGR00337
A_C_D_contig_3,TIGR00487
A_C_D_contig_3,TIGR01032
A_C_D_contig_358,TIGR02012
A_C_D_contig_400,PF00162.14
A_C_D_contig_400,TIGR00165
A_C_D_contig_400,TIGR00418
A_C_D_contig_400,TIGR02013
A_C_D_contig_400,TIGR02386
A_C_D_contig_406,TIGR00575
A_C_D_contig_434,TIGR00967
A_C_D_contig_512,TIGR00459
A_C_D_contig_512,TIGR00496
A_C_D_contig_43,TIGR00963
A_C_D_contig_574,PF01795.14
A_C_D_contig_574,TIGR01031
A_C_D_contig_574,TIGR02191
A_C_D_contig_616,TIGR00043
A_C_D_contig_616,TIGR00234
A_C_D_contig_616,TIGR00442
A_C_D_contig_621,TIGR01393
A_C_D_contig_626,TIGR02432
A_C_D_contig_785,PF00466.15
A_C_D_contig_785,TIGR00002
A_C_D_contig_785,TIGR00855
A_C_D_contig_1017,TIGR00468
A_C_D_contig_1017,TIGR00472
A_C_D_contig_220,TIGR00061
A_C_D_contig_220,TIGR00422
A_C_D_contig_220,TIGR00460
A_C_D_contig_220,TIGR00631
A_C_D_contig_220,TIGR01059
A_C_D_contig_1345,TIGR00810
A_C_D_contig_1345,TIGR01024
A_C_D_contig_1365,TIGR00116
A_C_D_contig_1365,TIGR01011
A_C_D_contig_1789,TIGR00115
A_C_D_contig_1789,TIGR01953
A_C_D_contig_1816,PF00276.15
A_C_D_contig_1816,PF00281.14
A_C_D_contig_1816,PF00297.17
A_C_D_contig_1816,PF00347.18
A_C_D_contig_1816,PF00366.15
A_C_D_contig_1816,PF00410.14
A_C_D_contig_1816,PF00573.17
A_C_D_contig_1816,TIGR00012
A_C_D_contig_1816,TIGR00060
A_C_D_contig_1816,TIGR01009
A_C_D_contig_1816,TIGR01021
A_C_D_contig_1816,TIGR01044
A_C_D_contig_1816,TIGR01049
A_C_D_contig_1816,TIGR01050
A_C_D_contig_1816,TIGR01067
A_C_D_contig_1816,TIGR01071
A_C_D_contig_1816,TIGR01079
A_C_D_contig_1816,TIGR01164
A_C_D_contig_1816,TIGR01171
A_C_D_contig_1912,TIGR00409
A_C_D_contig_1912,TIGR00435
A_C_D_contig_3794,TIGR00344
A_C_D_contig_3794,TIGR00420
A_C_D_contig_277,TIGR00362
A_C_D_contig_277,TIGR00663
A_C_D_contig_277,TIGR00952
A_C_D_contig_277,TIGR01030
A_C_D_contig_277,TIGR01063
A_C_D_contig_294,TIGR00389
A_C_D_contig_322,TIGR00392
A_C_D_contig_326,TIGR00396
A_C_D_contig_326,TIGR01391
A_C_D_contig_1355,PF00380.14
A_C_D_contig_1355,PF00411.14
A_C_D_contig_1355,PF00416.17
A_C_D_contig_382,PF00750.14
A_C_D_contig_382,PF01025.14
A_C_D_contig_348,TIGR00019
A_C_D_contig_1355,TIGR00059
A_C_D_contig_126,TIGR00092
A_C_D_contig_1188,TIGR00414
A_C_D_contig_3996,TIGR00922
A_C_D_contig_3996,TIGR00964
A_C_D_contig_1355,TIGR01017
A_C_D_contig_1355,TIGR01066
A_C_D_contig_3996,TIGR01169
A_C_D_contig_3996,TIGR01632
A_C_D_contig_1355,TIGR02027
A_C_D_contig_382,TIGR02350
A_C_D_contig_1188,TIGR02729
A_C_D_contig_2512,TIGR00064
A_C_D_contig_3587,TIGR00414
A_C_D_contig_1217,TIGR00420
A_C_D_contig_2512,TIGR00436
A_C_D_contig_7574,TIGR00575
A_C_D_contig_1217,TIGR02012
A_C_D_contig_19157,TIGR02397
A_C_D_contig_2512,TIGR02432
A_C_D_contig_2512,TIGR03594
A_C_D_contig_200,TIGR00001
A_C_D_contig_2908,TIGR00001
A_C_D_contig_2599,TIGR00002
A_C_D_contig_133,TIGR00019
A_C_D_contig_3117,TIGR00043
A_C_D_contig_181,TIGR00082
A_C_D_contig_2433,TIGR00086
A_C_D_contig_753,TIGR00115
A_C_D_contig_133,TIGR00152
A_C_D_contig_2908,TIGR00168
A_C_D_contig_200,TIGR00168
A_C_D_contig_615,TIGR00234
A_C_D_contig_2296,TIGR00392
A_C_D_contig_2908,TIGR00418
A_C_D_contig_2296,TIGR00436
A_C_D_contig_2908,TIGR00468
A_C_D_contig_200,TIGR00468
A_C_D_contig_2908,TIGR00472
A_C_D_contig_200,TIGR00472
A_C_D_contig_181,TIGR00487
A_C_D_contig_181,TIGR00952
A_C_D_contig_2599,TIGR00959
A_C_D_contig_2599,TIGR01024
A_C_D_contig_2908,TIGR01032
A_C_D_contig_200,TIGR01032
A_C_D_contig_104,TIGR01393
A_C_D_contig_181,TIGR01953
A_C_D_contig_2511,TIGR02432
A_C_D_contig_591,PF00380.14
A_C_D_contig_3196,PF00750.14
A_C_D_contig_701,PF01025.14
A_C_D_contig_847,PF01795.14
A_C_D_contig_222,TIGR00116
A_C_D_contig_97,TIGR00388
A_C_D_contig_1672,TIGR00442
A_C_D_contig_1672,TIGR00459
A_C_D_contig_504,TIGR00460
A_C_D_contig_222,TIGR00496
A_C_D_contig_3196,TIGR00963
A_C_D_contig_222,TIGR01011
A_C_D_contig_591,TIGR01066
A_C_D_contig_701,TIGR02350
A_C_D_contig_3238,TIGR03263
A_C_D_contig_160,PF00750.14
A_C_D_contig_82,TIGR00092
A_C_D_contig_82,TIGR00337
A_C_D_contig_385,TIGR00344
A_C_D_contig_497,TIGR00435
A_C_D_contig_1102,TIGR00435
A_C_D_contig_82,TIGR00663
A_C_D_contig_1050,TIGR00981
A_C_D_contig_1050,TIGR01029
A_C_D_contig_82,TIGR01059
A_C_D_contig_82,TIGR01063
A_C_D_contig_1064,PF00162.14
A_C_D_contig_12365,PF00162.14
A_C_D_contig_7938,PF00162.14
A_C_D_contig_28364,PF00162.14
A_C_D_contig_6378,PF00162.14
A_C_D_contig_49491,PF00162.14
A_C_D_contig_5813,PF00162.14
A_C_D_contig_73837,PF00162.14
A_C_D_contig_2272,PF00162.14
A_C_D_contig_843,PF00162.14
A_C_D_contig_31242,PF00162.14
A_C_D_contig_9705,PF00162.14
A_C_D_contig_7730,PF00162.14
A_C_D_contig_58481,PF00162.14
A_C_D_contig_49848,PF00162.14
A_C_D_contig_47003,PF00162.14
A_C_D_contig_34927,PF00162.14
A_C_D_contig_7361,PF00162.14
A_C_D_contig_56931,PF00162.14
A_C_D_contig_10770,PF00162.14
A_C_D_contig_16664,PF00162.14
A_C_D_contig_1984,PF00162.14
A_C_D_contig_6405,PF00162.14
A_C_D_contig_64491,PF00162.14
A_C_D_contig_72955,PF00162.14
A_C_D_contig_27127,PF00162.14
A_C_D_contig_68273,PF00162.14
A_C_D_contig_58141,PF00162.14
A_C_D_contig_29907,PF00162.14
A_C_D_contig_27445,PF00162.14
A_C_D_contig_57093,PF00162.14
A_C_D_contig_62414,PF00162.14
A_C_D_contig_16704,PF00162.14
A_C_D_contig_61425,PF00162.14
A_C_D_contig_32506,PF00162.14
A_C_D_contig_72807,PF00162.14
A_C_D_contig_81985,PF00162.14
A_C_D_contig_2157,PF00162.14
A_C_D_contig_50042,PF00162.14
A_C_D_contig_1674,PF00162.14
A_C_D_contig_1479,PF00162.14
A_C_D_contig_9501,PF00162.14
A_C_D_contig_55905,PF00162.14
A_C_D_contig_14354,PF00162.14
A_C_D_contig_65095,PF00162.14
A_C_D_contig_791,PF00162.14
A_C_D_contig_1744,PF00162.14
A_C_D_contig_74693,PF00162.14
A_C_D_contig_1599,PF00162.14
A_C_D_contig_1650,PF00162.14
A_C_D_contig_8396,PF00162.14
A_C_D_contig_4841,PF00162.14
A_C_D_contig_28259,PF00162.14
A_C_D_contig_32120,PF00162.14
A_C_D_contig_7804,PF00162.14
A_C_D_contig_47055,PF00162.14
A_C_D_contig_268,PF00162.14
A_C_D_contig_28935,PF00162.14
A_C_D_contig_5803,PF00162.14
A_C_D_contig_80722,PF00162.14
A_C_D_contig_13890,PF00162.14
A_C_D_contig_5685,PF00162.14
A_C_D_contig_65542,PF00162.14
A_C_D_contig_68569,PF00162.14
A_C_D_contig_23158,PF00162.14
A_C_D_contig_23159,PF00162.14
A_C_D_contig_22853,PF00162.14
A_C_D_contig_18661,PF00162.14
A_C_D_contig_2450,PF00162.14
A_C_D_contig_58218,PF00162.14
A_C_D_contig_32884,PF00162.14
A_C_D_contig_23501,PF00162.14
A_C_D_contig_21420,PF00162.14
A_C_D_contig_49446,PF00162.14
A_C_D_contig_2198,PF00162.14
A_C_D_contig_73110,PF00162.14
A_C_D_contig_24578,PF00162.14
A_C_D_contig_75204,PF00162.14
A_C_D_contig_2335,PF00162.14
A_C_D_contig_2858,PF00162.14
A_C_D_contig_35670,PF00162.14
A_C_D_contig_45021,PF00162.14
A_C_D_contig_2961,PF00162.14
A_C_D_contig_8788,PF00162.14
A_C_D_contig_35416,PF00162.14
A_C_D_contig_1877,PF00162.14
A_C_D_contig_50662,PF00162.14
A_C_D_contig_2827,PF00162.14
A_C_D_contig_56419,PF00162.14
A_C_D_contig_24041,PF00162.14
A_C_D_contig_73039,PF00162.14
A_C_D_contig_72361,PF00162.14
A_C_D_contig_71990,PF00162.14
A_C_D_contig_31323,PF00162.14
A_C_D_contig_68145,PF00162.14
A_C_D_contig_6541,PF00162.14
A_C_D_contig_62151,PF00162.14
A_C_D_contig_49975,PF00162.14
A_C_D_contig_79955,PF00162.14
A_C_D_contig_60114,PF00162.14
A_C_D_contig_41212,PF00162.14
A_C_D_contig_44271,PF00162.14
A_C_D_contig_47140,PF00162.14
A_C_D_contig_64181,PF00162.14
A_C_D_contig_669,PF00162.14
A_C_D_contig_41865,PF00162.14
A_C_D_contig_35278,PF00162.14
A_C_D_contig_52115,PF00162.14
A_C_D_contig_13866,PF00162.14
A_C_D_contig_51458,PF00162.14
A_C_D_contig_71491,PF00162.14
A_C_D_contig_67930,PF00162.14
A_C_D_contig_21121,PF00162.14
A_C_D_contig_29503,PF00162.14
A_C_D_contig_17428,PF00162.14
A_C_D_contig_68569,PF00162.14
A_C_D_contig_54487,PF00162.14
A_C_D_contig_1429,PF00162.14
A_C_D_contig_44961,PF00162.14
A_C_D_contig_62151,PF00162.14
A_C_D_contig_54002,PF00162.14
A_C_D_contig_56740,PF00162.14
A_C_D_contig_13866,PF00162.14
A_C_D_contig_61592,PF00162.14
A_C_D_contig_79632,PF00162.14
A_C_D_contig_79750,PF00162.14
A_C_D_contig_39503,PF00162.14
A_C_D_contig_60923,PF00162.14
A_C_D_contig_43839,PF00162.14
A_C_D_contig_55848,PF00162.14
A_C_D_contig_54207,PF00162.14
A_C_D_contig_70067,PF00162.14
A_C_D_contig_74717,PF00162.14
A_C_D_contig_41865,PF00162.14
A_C_D_contig_82758,PF00162.14
A_C_D_contig_34245,PF00162.14
A_C_D_contig_34583,PF00162.14
A_C_D_contig_52351,PF00162.14
A_C_D_contig_65094,PF00162.14
A_C_D_contig_41865,PF00162.14
A_C_D_contig_68519,PF00162.14
A_C_D_contig_82656,PF00276.15
A_C_D_contig_8647,PF00276.15
A_C_D_contig_10724,PF00276.15
A_C_D_contig_46410,PF00276.15
A_C_D_contig_29807,PF00276.15
A_C_D_contig_60357,PF00276.15
A_C_D_contig_36587,PF00276.15
A_C_D_contig_4837,PF00276.15
A_C_D_contig_38242,PF00276.15
A_C_D_contig_54665,PF00276.15
A_C_D_contig_469,PF00276.15
A_C_D_contig_7858,PF00276.15
A_C_D_contig_54981,PF00276.15
A_C_D_contig_2901,PF00276.15
A_C_D_contig_642,PF00276.15
A_C_D_contig_30340,PF00276.15
A_C_D_contig_12030,PF00276.15
A_C_D_contig_10113,PF00276.15
A_C_D_contig_6899,PF00276.15
A_C_D_contig_17343,PF00276.15
A_C_D_contig_67926,PF00276.15
A_C_D_contig_2939,PF00276.15
A_C_D_contig_74821,PF00276.15
A_C_D_contig_19570,PF00276.15
A_C_D_contig_80223,PF00276.15
A_C_D_contig_49490,PF00276.15
A_C_D_contig_7026,PF00276.15
A_C_D_contig_9090,PF00276.15
A_C_D_contig_22429,PF00276.15
A_C_D_contig_72829,PF00276.15
A_C_D_contig_59768,PF00276.15
A_C_D_contig_9103,PF00276.15
A_C_D_contig_285,PF00276.15
A_C_D_contig_6167,PF00276.15
A_C_D_contig_81398,PF00276.15
A_C_D_contig_9337,PF00276.15
A_C_D_contig_83050,PF00276.15
A_C_D_contig_82927,PF00276.15
A_C_D_contig_8534,PF00276.15
A_C_D_contig_1205,PF00276.15
A_C_D_contig_82546,PF00276.15
A_C_D_contig_60671,PF00276.15
A_C_D_contig_54952,PF00276.15
A_C_D_contig_1249,PF00276.15
A_C_D_contig_50431,PF00276.15
A_C_D_contig_31838,PF00276.15
A_C_D_contig_3838,PF00276.15
A_C_D_contig_71738,PF00276.15
A_C_D_contig_67567,PF00276.15
A_C_D_contig_53447,PF00276.15
A_C_D_contig_50415,PF00276.15
A_C_D_contig_39093,PF00276.15
A_C_D_contig_12560,PF00276.15
A_C_D_contig_38439,PF00276.15
A_C_D_contig_5436,PF00276.15
A_C_D_contig_41868,PF00276.15
A_C_D_contig_20096,PF00276.15
A_C_D_contig_21598,PF00276.15
A_C_D_contig_9264,PF00276.15
A_C_D_contig_41979,PF00276.15
A_C_D_contig_56256,PF00276.15
A_C_D_contig_52860,PF00276.15
A_C_D_contig_80039,PF00276.15
A_C_D_contig_511,PF00276.15
A_C_D_contig_25866,PF00276.15
A_C_D_contig_23125,PF00276.15
A_C_D_contig_3031,PF00276.15
A_C_D_contig_45177,PF00276.15
A_C_D_contig_20386,PF00276.15
A_C_D_contig_1041,PF00276.15
A_C_D_contig_24949,PF00276.15
A_C_D_contig_1373,PF00276.15
A_C_D_contig_32713,PF00276.15
A_C_D_contig_24831,PF00276.15
A_C_D_contig_1806,PF00276.15
A_C_D_contig_12736,PF00276.15
A_C_D_contig_74610,PF00276.15
A_C_D_contig_20579,PF00276.15
A_C_D_contig_8474,PF00276.15
A_C_D_contig_9263,PF00276.15
A_C_D_contig_4482,PF00276.15
A_C_D_contig_81289,PF00276.15
A_C_D_contig_47807,PF00276.15
A_C_D_contig_12351,PF00276.15
A_C_D_contig_45178,PF00276.15
A_C_D_contig_23652,PF00276.15
A_C_D_contig_7897,PF00276.15
A_C_D_contig_43031,PF00276.15
A_C_D_contig_33782,PF00276.15
A_C_D_contig_82524,PF00276.15
A_C_D_contig_1398,PF00276.15
A_C_D_contig_66955,PF00276.15
A_C_D_contig_45296,PF00276.15
A_C_D_contig_7321,PF00276.15
A_C_D_contig_39758,PF00276.15
A_C_D_contig_9566,PF00276.15
A_C_D_contig_16864,PF00276.15
A_C_D_contig_81450,PF00276.15
A_C_D_contig_62261,PF00276.15
A_C_D_contig_80677,PF00276.15
A_C_D_contig_18825,PF00276.15
A_C_D_contig_25410,PF00276.15
A_C_D_contig_7745,PF00276.15
A_C_D_contig_75295,PF00276.15
A_C_D_contig_18691,PF00276.15
A_C_D_contig_57510,PF00276.15
A_C_D_contig_46286,PF00276.15
A_C_D_contig_139,PF00276.15
A_C_D_contig_33060,PF00276.15
A_C_D_contig_137,PF00276.15
A_C_D_contig_76880,PF00276.15
A_C_D_contig_61710,PF00276.15
A_C_D_contig_14980,PF00276.15
A_C_D_contig_70640,PF00276.15
A_C_D_contig_2416,PF00276.15
A_C_D_contig_28986,PF00276.15
A_C_D_contig_33446,PF00276.15
A_C_D_contig_33059,PF00276.15
A_C_D_contig_67931,PF00276.15
A_C_D_contig_52148,PF00276.15
A_C_D_contig_49019,PF00276.15
A_C_D_contig_2491,PF00276.15
A_C_D_contig_83314,PF00276.15
A_C_D_contig_13230,PF00276.15
A_C_D_contig_56503,PF00276.15
A_C_D_contig_81580,PF00276.15
A_C_D_contig_17513,PF00276.15
A_C_D_contig_58506,PF00276.15
A_C_D_contig_14753,PF00276.15
A_C_D_contig_50882,PF00276.15
A_C_D_contig_28075,PF00276.15
A_C_D_contig_8660,PF00276.15
A_C_D_contig_33390,PF00276.15
A_C_D_contig_77989,PF00276.15
A_C_D_contig_80991,PF00276.15
A_C_D_contig_16180,PF00276.15
A_C_D_contig_10543,PF00276.15
A_C_D_contig_16556,PF00276.15
A_C_D_contig_2851,PF00281.14
A_C_D_contig_8647,PF00281.14
A_C_D_contig_10113,PF00281.14
A_C_D_contig_29261,PF00281.14
A_C_D_contig_4482,PF00281.14
A_C_D_contig_9090,PF00281.14
A_C_D_contig_25545,PF00281.14
A_C_D_contig_9717,PF00281.14
A_C_D_contig_75396,PF00281.14
A_C_D_contig_14411,PF00281.14
A_C_D_contig_21961,PF00281.14
A_C_D_contig_81962,PF00281.14
A_C_D_contig_14567,PF00281.14
A_C_D_contig_50066,PF00281.14
A_C_D_contig_77681,PF00281.14
A_C_D_contig_7577,PF00281.14
A_C_D_contig_12560,PF00281.14
A_C_D_contig_35973,PF00281.14
A_C_D_contig_469,PF00281.14
A_C_D_contig_3031,PF00281.14
A_C_D_contig_3838,PF00281.14
A_C_D_contig_4837,PF00281.14
A_C_D_contig_49924,PF00281.14
A_C_D_contig_30980,PF00281.14
A_C_D_contig_1806,PF00281.14
A_C_D_contig_32882,PF00281.14
A_C_D_contig_46850,PF00281.14
A_C_D_contig_10724,PF00281.14
A_C_D_contig_10365,PF00281.14
A_C_D_contig_12070,PF00281.14
A_C_D_contig_7026,PF00281.14
